Package received,time received,time send,package send,rssi,snr,freqError
1,23:51:20,23:48:59,1,-120,-13.75,642
2,23:51:23,23:49:03,2,-120,-15.25,651
3,23:51:27,23:49:06,3,-121,-16.50,656
4,23:51:30,23:49:09,4,-120,-16.50,664
5,23:51:33,23:49:13,5,-120,-17.75,668
6,23:51:37,23:49:16,6,-120,-16.25,673
7,23:51:40,23:49:19,7,-120,-15.75,679
8,23:51:43,23:49:23,8,-120,-16.75,683
9,23:51:47,23:49:26,9,-119,-15.25,688
10,23:51:50,23:49:29,10,-118,-15.50,693
11,23:51:54,23:49:33,11,-118,-16.25,697
12,23:51:57,23:49:36,12,-118,-15.75,702
13,23:52:01,23:49:40,13,-118,-16.25,707
14,23:52:05,23:49:44,14,-118,-15.25,710
15,23:52:08,23:49:47,15,-118,-13.25,716
16,23:52:12,23:49:51,16,-118,-13.75,719
17,23:52:15,23:49:54,17,-118,-15.50,722
18,23:52:19,23:49:58,18,-119,-16.25,724
19,23:52:22,23:50:01,19,-118,-16.50,728
20,23:52:26,23:50:05,20,-118,-16.25,735
21,23:52:30,23:50:09,21,-118,-15.75,736
22,23:52:33,23:50:12,22,-118,-17.00,740
23,23:52:37,23:50:16,23,-118,-18.75,745
24,23:52:44,23:50:23,25,-117,-20.50,756
25,23:52:47,23:50:27,26,-117,-20.25,761
26,23:53:16,23:50:55,34,-116,-19.50,794
27,23:53:20,23:50:59,35,-117,-19.50,795
28,23:53:23,23:51:02,36,-117,-19.00,797
29,23:53:27,23:51:06,37,-117,-18.00,797
30,23:53:31,23:51:10,38,-117,-18.00,800
31,23:53:34,23:51:13,39,-117,-20.00,796
32,23:53:38,23:51:17,40,-117,-18.00,797
33,23:53:41,23:51:20,41,-116,-18.25,795
34,23:53:45,23:51:24,42,-116,-18.00,797
35,23:53:48,23:51:27,43,-117,-18.50,797
36,23:53:52,23:51:31,44,-117,-18.75,797
37,23:53:56,23:51:35,45,-117,-21.75,794
38,23:54:17,23:51:56,51,-118,-21.25,805
39,23:54:21,23:52:00,52,-118,-21.00,803
