Package received,time received,time send,package send,rssi,snr,freqError
1,19:00:53,18:58:32,1,-112,-19.00,611
2,19:00:55,18:58:35,2,-112,-18.00,605
3,19:01:02,18:58:42,5,-111,-20.75,602
4,19:01:04,18:58:44,6,-111,-21.00,602
5,19:01:07,18:58:46,7,-111,-20.50,592
6,19:01:09,18:58:49,8,-112,-18.25,594
7,19:01:11,18:58:51,9,-111,-21.75,607
8,19:01:23,18:59:03,14,-110,-21.50,600
9,19:01:27,18:59:07,16,-112,-20.25,594
10,19:01:32,18:59:12,18,-112,-20.75,592
11,19:01:34,18:59:14,19,-112,-17.75,594
12,19:01:37,18:59:17,20,-111,-21.50,596
13,19:01:41,18:59:21,22,-110,-21.75,596
14,19:01:49,18:59:28,25,-111,-21.00,607
15,19:01:51,18:59:31,26,-110,-19.50,475
16,19:01:53,18:59:33,27,-111,-20.75,594
17,19:02:03,18:59:42,31,-108,-21.75,598
18,19:02:10,18:59:49,34,-110,-21.25,596
19,19:02:23,19:00:03,40,-111,-21.25,596
20,19:02:28,19:00:08,42,-112,-18.75,573
21,19:02:30,19:00:10,43,-110,-17.50,579
22,19:02:35,19:00:15,45,-109,-17.25,575
23,19:02:37,19:00:17,46,-111,-17.25,573
24,19:02:40,19:00:20,47,-110,-15.75,579
25,19:02:44,19:00:24,49,-111,-13.50,560
26,19:02:47,19:00:27,50,-111,-16.25,573
27,19:02:49,19:00:29,51,-112,-15.75,573
28,19:02:51,19:00:31,52,-112,-15.50,563
29,19:02:54,19:00:34,53,-111,-14.50,569
30,19:02:56,19:00:36,54,-111,-15.50,573
31,19:02:58,19:00:38,55,-111,-16.75,573
32,19:03:01,19:00:41,56,-111,-13.25,567
33,19:03:03,19:00:43,57,-111,-15.50,573
34,19:03:05,19:00:45,58,-111,-18.50,558
35,19:03:08,19:00:47,59,-111,-16.50,563
36,19:03:10,19:00:50,60,-111,-16.75,569
37,19:03:12,19:00:52,61,-111,-16.00,560
38,19:03:15,19:00:54,62,-112,-16.00,565
39,19:03:17,19:00:57,63,-111,-15.50,565
40,19:03:19,19:00:59,64,-111,-16.75,558
41,19:03:22,19:01:01,65,-111,-17.00,560
42,19:03:24,19:01:04,66,-110,-18.00,556
43,19:03:26,19:01:06,67,-112,-16.75,563
44,19:03:29,19:01:08,68,-111,-16.00,563
45,19:03:31,19:01:11,69,-112,-16.50,560
46,19:03:33,19:01:13,70,-112,-15.50,569
47,19:03:36,19:01:15,71,-111,-17.00,569
48,19:03:38,19:01:18,72,-111,-15.75,563
49,19:03:40,19:01:20,73,-112,-15.25,558
