Package received,time received,time send,package send,rssi,snr,freqError
1,19:20:35,19:18:15,1,-112,-16.75,464
2,19:20:38,19:18:18,2,-113,-17.50,470
3,19:20:40,19:18:20,3,-113,-17.25,460
4,19:20:42,19:18:22,4,-113,-17.25,466
5,19:20:45,19:18:25,5,-112,-20.25,475
6,19:20:47,19:18:27,6,-112,-20.75,468
7,19:20:49,19:18:29,7,-113,-20.00,462
8,19:20:52,19:18:32,8,-113,-20.00,464
9,19:20:54,19:18:34,9,-111,-20.25,466
10,19:20:59,19:18:39,11,-112,-20.00,451
11,19:21:01,19:18:41,12,-113,-18.75,466
12,19:21:03,19:18:43,13,-112,-19.50,475
13,19:21:06,19:18:46,14,-113,-19.25,460
14,19:21:08,19:18:48,15,-112,-20.75,468
15,19:21:10,19:18:50,16,-112,-20.50,468
16,19:21:13,19:18:53,17,-110,-20.50,456
17,19:21:15,19:18:55,18,-111,-21.75,456
18,19:21:20,19:19:00,20,-110,-20.25,464
19,19:21:24,19:19:04,22,-112,-20.75,464
20,19:21:27,19:19:07,23,-113,-19.25,460
21,19:21:29,19:19:09,24,-112,-20.50,475
22,19:21:31,19:19:11,25,-112,-20.75,468
23,19:21:34,19:19:14,26,-111,-21.25,451
24,19:21:36,19:19:16,27,-112,-20.25,451
25,19:21:38,19:19:18,28,-110,-22.00,449
26,19:21:43,19:19:23,30,-112,-20.25,466
27,19:21:45,19:19:25,31,-111,-19.25,458
28,19:21:50,19:19:30,33,-111,-21.75,468
29,19:21:52,19:19:32,34,-112,-20.00,460
30,19:21:55,19:19:35,35,-112,-20.50,466
31,19:21:57,19:19:37,36,-112,-20.25,472
32,19:21:59,19:19:39,37,-112,-19.75,464
33,19:22:04,19:19:44,39,-110,-21.25,458
34,19:22:09,19:19:49,41,-113,-18.75,466
35,19:22:11,19:19:51,42,-112,-19.50,458
36,19:22:13,19:19:53,43,-112,-20.50,462
37,19:22:16,19:19:55,44,-112,-21.00,460
38,19:22:18,19:19:58,45,-112,-20.25,466
39,19:22:25,19:20:05,48,-112,-20.25,466
40,19:22:30,19:20:09,50,-112,-20.25,460
41,19:22:32,19:20:12,51,-113,-20.75,458
42,19:22:34,19:20:14,52,-112,-21.50,451
43,19:22:37,19:20:16,53,-113,-20.25,462
44,19:22:39,19:20:19,54,-113,-20.50,460
45,19:22:41,19:20:21,55,-112,-20.75,458
46,19:22:48,19:20:28,58,-112,-19.25,456
47,19:22:51,19:20:30,59,-113,-21.25,435
48,19:22:53,19:20:33,60,-112,-19.50,458
49,19:22:55,19:20:35,61,-113,-19.75,458
50,19:22:58,19:20:37,62,-113,-19.00,456
51,19:23:00,19:20:40,63,-113,-20.25,447
52,19:23:02,19:20:42,64,-113,-19.50,451
53,19:23:05,19:20:44,65,-113,-20.00,451
54,19:23:07,19:20:47,66,-112,-20.00,443
55,19:23:12,19:20:51,68,-112,-20.00,464
56,19:23:14,19:20:54,69,-112,-18.75,464
57,19:23:16,19:20:56,70,-114,-18.50,447
58,19:23:19,19:20:58,71,-113,-19.75,456
59,19:23:21,19:21:01,72,-113,-18.25,441
60,19:23:23,19:21:03,73,-113,-19.50,464
61,19:23:26,19:21:05,74,-113,-19.75,449
62,19:23:28,19:21:08,75,-113,-20.50,495
63,19:23:30,19:21:10,76,-113,-19.50,451
64,19:23:33,19:21:12,77,-112,-19.50,449
65,19:23:35,19:21:15,78,-113,-20.50,460
66,19:23:40,19:21:19,80,-112,-19.25,447
67,19:23:42,19:21:22,81,-112,-19.75,460
