Package received,time received,time send,package send,rssi,snr,freqError
1,09:48:17,09:45:44,1,-103,1.00,959
2,09:48:19,09:45:47,2,-106,0.50,948
3,09:48:22,09:45:49,3,-105,0.50,948
4,09:48:24,09:45:51,4,-104,0.00,936
5,09:48:26,09:45:54,5,-105,0.75,925
6,09:48:29,09:45:56,6,-103,0.75,921
7,09:48:31,09:45:58,7,-105,0.50,915
8,09:48:33,09:46:01,8,-104,0.75,913
9,09:48:36,09:46:03,9,-105,-0.25,904
10,09:48:38,09:46:05,10,-106,-0.25,900
11,09:48:40,09:46:08,11,-103,0.25,896
12,09:48:43,09:46:10,12,-105,0.75,892
13,09:48:45,09:46:12,13,-105,-0.25,886
14,09:48:47,09:46:15,14,-106,0.00,881
15,09:48:50,09:46:17,15,-104,0.50,877
16,09:48:52,09:46:19,16,-105,0.50,875
17,09:48:54,09:46:22,17,-104,1.25,867
18,09:48:57,09:46:24,18,-104,1.25,869
19,09:48:59,09:46:26,19,-106,1.25,865
20,09:49:01,09:46:29,20,-106,0.00,865
21,09:49:04,09:46:31,21,-103,1.25,862
22,09:49:06,09:46:33,22,-104,1.75,867
23,09:49:08,09:46:36,23,-104,2.00,873
24,09:49:11,09:46:38,24,-106,1.00,875
25,09:49:13,09:46:40,25,-109,1.25,877
26,09:49:15,09:46:43,26,-108,-1.25,883
27,09:49:18,09:46:45,27,-110,-2.00,1022
28,09:49:20,09:46:47,28,-110,-1.75,1028
29,09:49:22,09:46:50,29,-109,-1.50,898
30,09:49:25,09:46:52,30,-111,-3.25,900
31,09:49:27,09:46:54,31,-110,-1.50,900
32,09:49:29,09:46:57,32,-110,-0.50,898
33,09:49:32,09:46:59,33,-112,-3.25,894
34,09:49:34,09:47:01,34,-107,-1.25,890
35,09:49:36,09:47:04,35,-108,0.00,756
36,09:49:39,09:47:06,36,-108,2.00,886
37,09:49:41,09:47:08,37,-107,2.50,881
38,09:49:43,09:47:11,38,-109,-0.50,879
39,09:49:46,09:47:13,39,-109,0.25,875
40,09:49:48,09:47:15,40,-108,0.00,873
41,09:49:50,09:47:18,41,-104,0.00,871
42,09:49:53,09:47:20,42,-106,0.00,871
43,09:49:55,09:47:22,43,-107,0.00,862
44,09:49:57,09:47:25,44,-107,-0.25,860
45,09:50:00,09:47:27,45,-106,0.25,858
46,09:50:04,09:47:32,47,-104,-0.75,890
47,09:50:07,09:47:34,48,-108,0.75,850
48,09:50:09,09:47:36,49,-108,1.00,846
49,09:50:11,09:47:39,50,-107,1.25,844
50,09:50:14,09:47:41,51,-107,1.00,835
51,09:50:16,09:47:43,52,-107,0.50,831
52,09:50:18,09:47:46,53,-108,0.75,825
53,09:50:21,09:47:48,54,-108,1.00,812
54,09:50:23,09:47:50,55,-107,1.25,806
55,09:50:25,09:47:53,56,-107,1.50,802
56,09:50:27,09:47:55,57,-106,0.75,787
57,09:50:30,09:47:57,58,-109,1.50,787
58,09:50:32,09:48:00,59,-107,0.25,783
59,09:50:34,09:48:02,60,-108,0.50,768
60,09:50:37,09:48:04,61,-107,-1.00,760
61,09:50:39,09:48:07,62,-106,-1.25,607
62,09:50:46,09:48:14,65,-108,-1.50,869
63,09:50:48,09:48:16,66,-108,-1.25,724
64,09:50:51,09:48:18,67,-109,-1.00,718
65,09:50:53,09:48:20,68,-108,-1.75,711
66,09:50:55,09:48:23,69,-108,-1.25,711
67,09:50:58,09:48:25,70,-106,-2.50,709
68,09:51:02,09:48:30,72,-106,-1.25,588
69,09:51:07,09:48:34,74,-108,-1.25,726
70,09:51:16,09:48:44,78,-107,-1.25,877
