Package received,time received,time send,package send,rssi,snr,freqError
2,10:28:48,10:26:15,2,-108,-0.50,665
3,10:28:50,10:26:17,3,-109,-0.75,661
4,10:28:52,10:26:20,4,-109,-2.25,661
5,10:28:55,10:26:22,5,-110,-2.50,661
6,10:28:57,10:26:24,6,-109,-3.00,661
7,10:28:59,10:26:27,7,-110,-2.00,655
8,10:29:02,10:26:29,8,-110,-2.50,653
9,10:29:04,10:26:31,9,-109,-2.50,651
10,10:29:06,10:26:34,10,-111,-4.75,649
11,10:29:09,10:26:36,11,-110,-5.00,644
12,10:29:11,10:26:38,12,-110,-4.75,638
13,10:29:13,10:26:41,13,-108,-0.50,628
14,10:29:16,10:26:43,14,-109,-1.50,625
15,10:29:18,10:26:45,15,-109,-2.50,613
16,10:29:20,10:26:48,16,-109,-2.00,607
17,10:29:23,10:26:50,17,-109,0.25,598
18,10:29:25,10:26:52,18,-109,-1.00,592
19,10:29:27,10:26:55,19,-108,-0.25,584
20,10:29:30,10:26:57,20,-108,-0.50,581
21,10:29:32,10:26:59,21,-108,-0.75,573
22,10:29:34,10:27:02,22,-107,0.25,567
23,10:29:37,10:27:04,23,-109,0.25,567
24,10:29:39,10:27:06,24,-109,0.00,565
25,10:29:41,10:27:09,25,-109,-1.00,565
26,10:29:44,10:27:11,26,-109,0.25,563
27,10:29:46,10:27:13,27,-109,-1.00,565
28,10:29:48,10:27:16,28,-109,0.00,563
29,10:29:51,10:27:18,29,-109,-1.25,558
30,10:29:53,10:27:20,30,-108,0.00,554
31,10:29:55,10:27:23,31,-109,0.25,552
32,10:29:58,10:27:25,32,-109,-0.25,550
33,10:30:00,10:27:27,33,-109,0.00,546
34,10:30:02,10:27:30,34,-109,-1.25,544
35,10:30:05,10:27:32,35,-108,0.75,546
36,10:30:07,10:27:34,36,-107,-0.75,544
37,10:30:09,10:27:37,37,-109,0.25,548
38,10:30:12,10:27:39,38,-110,0.25,546
39,10:30:14,10:27:41,39,-109,0.00,544
40,10:30:16,10:27:44,40,-109,0.50,542
41,10:30:19,10:27:46,41,-108,0.00,540
42,10:30:21,10:27:48,42,-107,0.50,537
43,10:30:23,10:27:51,43,-108,-0.50,537
44,10:30:26,10:27:53,44,-108,0.50,535
45,10:30:28,10:27:55,45,-108,0.50,533
46,10:30:30,10:27:58,46,-107,0.25,533
47,10:30:33,10:28:00,47,-108,1.25,537
48,10:30:35,10:28:02,48,-108,0.25,540
49,10:30:37,10:28:05,49,-109,0.25,542
50,10:30:40,10:28:07,50,-108,-0.75,540
51,10:30:42,10:28:09,51,-108,0.50,544
52,10:30:44,10:28:12,52,-107,-0.25,546
53,10:30:47,10:28:14,53,-108,1.25,550
54,10:30:49,10:28:16,54,-109,0.00,554
55,10:30:51,10:28:19,55,-109,0.00,558
56,10:30:53,10:28:21,56,-108,0.00,563
57,10:30:56,10:28:23,57,-108,-0.25,567
58,10:30:58,10:28:26,58,-109,0.25,567
59,10:31:00,10:28:28,59,-109,-0.50,567
60,10:31:03,10:28:30,60,-109,0.25,563
61,10:31:05,10:28:33,61,-108,0.25,558
62,10:31:07,10:28:35,62,-109,0.50,560
63,10:31:10,10:28:37,63,-109,-1.25,514
64,10:31:12,10:28:40,64,-108,-0.50,565
65,10:31:14,10:28:42,65,-108,0.50,565
66,10:31:17,10:28:44,66,-107,0.25,560
67,10:31:19,10:28:47,67,-108,1.00,560
68,10:31:21,10:28:49,68,-108,0.50,563
69,10:31:24,10:28:51,69,-110,-0.25,563
70,10:31:26,10:28:54,70,-109,0.25,560
71,10:31:28,10:28:56,71,-108,0.25,560
72,10:31:31,10:28:58,72,-109,0.50,567
