Package received,time received,time send,package send,rssi,snr,freqError
1,15:55:05,15:52:27,1,-105,-2.50,602
2,15:55:07,15:52:30,2,-106,-7.00,605
3,15:55:09,15:52:32,3,-106,-19.00,607
4,15:55:12,15:52:34,4,-106,-10.50,600
5,15:55:14,15:52:37,5,-107,-8.00,605
6,15:55:16,15:52:39,6,-107,-9.50,598
7,15:55:19,15:52:41,7,-106,-10.25,602
8,15:55:21,15:52:44,8,-106,-9.75,600
9,15:55:23,15:52:46,9,-106,-11.75,596
10,15:55:25,15:52:48,10,-107,-10.50,600
11,15:55:28,15:52:51,11,-103,-14.25,602
12,15:55:30,15:52:53,12,-105,-11.75,596
13,15:55:32,15:52:55,13,-105,-11.50,602
14,15:55:35,15:52:58,14,-106,-12.00,594
15,15:55:37,15:53:00,15,-105,-11.00,596
16,15:55:39,15:53:02,16,-105,-9.50,598
17,15:55:42,15:53:05,17,-105,-9.25,594
18,15:55:44,15:53:07,18,-105,-12.75,594
19,15:55:46,15:53:09,19,-106,-11.25,596
20,15:55:49,15:53:12,20,-106,-11.25,598
21,15:55:51,15:53:14,21,-106,-10.75,596
22,15:55:53,15:53:16,22,-107,-11.00,592
23,15:55:56,15:53:19,23,-106,-10.75,590
24,15:55:58,15:53:21,24,-106,-10.50,592
25,15:56:00,15:53:23,25,-106,-12.50,581
26,15:56:03,15:53:26,26,-106,-8.25,594
27,15:56:05,15:53:28,27,-106,-10.00,590
28,15:56:07,15:53:30,28,-106,-10.25,594
29,15:56:10,15:53:33,29,-105,-11.50,590
30,15:56:12,15:53:35,30,-105,-9.00,594
31,15:56:14,15:53:37,31,-106,-7.75,594
32,15:56:17,15:53:40,32,-105,-4.50,590
33,15:56:19,15:53:42,33,-106,-7.75,592
34,15:56:21,15:53:44,34,-106,-5.50,590
35,15:56:24,15:53:47,35,-105,-4.75,592
36,15:56:26,15:53:49,36,-106,-5.50,592
37,15:56:28,15:53:51,37,-106,-5.75,594
38,15:56:31,15:53:54,38,-107,-19.75,590
39,15:56:33,15:53:56,39,-106,-10.00,590
40,15:56:35,15:53:58,40,-106,-10.25,586
41,15:56:38,15:54:01,41,-105,-10.75,590
42,15:56:40,15:54:03,42,-106,-6.00,586
43,15:56:42,15:54:05,43,-106,-7.75,590
44,15:56:45,15:54:08,44,-107,-5.25,584
45,15:56:47,15:54:10,45,-106,-7.75,588
46,15:56:49,15:54:12,46,-107,-4.25,590
47,15:56:52,15:54:15,47,-106,-6.00,590
48,15:56:54,15:54:17,48,-107,-4.75,586
49,15:56:56,15:54:19,49,-108,-6.00,586
50,15:57:01,15:54:24,51,-106,-7.00,584
51,15:57:03,15:54:26,52,-105,-8.00,588
52,15:57:06,15:54:29,53,-107,-5.25,586
53,15:57:08,15:54:31,54,-107,-6.00,621
54,15:57:10,15:54:33,55,-107,-5.75,586
55,15:57:13,15:54:36,56,-107,-4.50,584
56,15:57:15,15:54:38,57,-105,-5.25,584
57,15:57:17,15:54:40,58,-106,-5.00,590
58,15:57:20,15:54:43,59,-104,-4.00,588
