Package received,time received,time send,package send,rssi,snr,freqError
2,15:50:33,15:47:56,2,-102,3.00,613
3,15:50:36,15:47:59,3,-104,-1.00,613
4,15:50:38,15:48:01,4,-103,1.00,613
5,15:50:40,15:48:03,5,-102,1.75,613
6,15:50:43,15:48:06,6,-102,1.75,611
7,15:50:45,15:48:08,7,-102,1.50,613
8,15:50:47,15:48:10,8,-102,1.50,615
9,15:50:50,15:48:13,9,-103,1.50,613
10,15:50:52,15:48:15,10,-102,2.50,613
11,15:50:54,15:48:17,11,-102,1.50,615
12,15:50:57,15:48:20,12,-103,0.75,613
13,15:50:59,15:48:22,13,-103,0.75,613
14,15:51:01,15:48:24,14,-102,-0.50,613
15,15:51:04,15:48:27,15,-103,1.00,615
16,15:51:06,15:48:29,16,-102,0.75,615
17,15:51:08,15:48:31,17,-103,0.75,615
18,15:51:11,15:48:34,18,-103,0.75,615
19,15:51:13,15:48:36,19,-103,1.00,615
20,15:51:15,15:48:38,20,-103,0.75,617
21,15:51:18,15:48:41,21,-102,1.00,615
22,15:51:20,15:48:43,22,-104,0.75,617
23,15:51:22,15:48:45,23,-103,1.50,617
24,15:51:25,15:48:48,24,-103,2.00,617
25,15:51:27,15:48:50,25,-102,0.75,617
26,15:51:29,15:48:52,26,-103,1.75,615
27,15:51:32,15:48:55,27,-103,1.25,617
28,15:51:34,15:48:57,28,-102,1.00,617
29,15:51:36,15:48:59,29,-102,1.75,617
30,15:51:39,15:49:02,30,-103,0.75,615
31,15:51:41,15:49:04,31,-102,0.00,617
32,15:51:43,15:49:06,32,-102,-1.25,619
33,15:51:46,15:49:09,33,-104,1.00,615
34,15:51:48,15:49:11,34,-103,1.00,617
35,15:51:50,15:49:13,35,-102,1.25,617
36,15:51:53,15:49:16,36,-103,1.75,619
37,15:51:55,15:49:18,37,-102,1.75,617
38,15:51:57,15:49:20,38,-103,0.50,615
39,15:52:00,15:49:23,39,-101,-0.25,617
40,15:52:02,15:49:25,40,-103,2.00,619
41,15:52:04,15:49:27,41,-102,1.25,617
42,15:52:07,15:49:29,42,-102,2.00,617
43,15:52:09,15:49:32,43,-102,1.75,617
44,15:52:11,15:49:34,44,-103,2.00,619
45,15:52:14,15:49:36,45,-103,2.00,619
46,15:52:16,15:49:39,46,-101,0.50,617
47,15:52:18,15:49:41,47,-100,-2.75,617
48,15:52:21,15:49:43,48,-103,2.00,617
49,15:52:23,15:49:46,49,-103,1.50,619
50,15:52:25,15:49:48,50,-103,3.25,617
51,15:52:28,15:49:50,51,-102,2.25,619
52,15:52:30,15:49:53,52,-102,2.25,619
53,15:52:32,15:49:55,53,-103,1.50,619
54,15:52:35,15:49:57,54,-101,0.00,619
55,15:52:37,15:50:00,55,-103,1.75,617
56,15:52:39,15:50:02,56,-101,2.50,621
57,15:52:42,15:50:04,57,-103,0.75,619
58,15:52:44,15:50:07,58,-103,1.25,619
59,15:52:46,15:50:09,59,-102,1.75,619
60,15:52:49,15:50:11,60,-104,0.75,621
61,15:52:51,15:50:14,61,-103,1.00,621
62,15:52:53,15:50:16,62,-102,1.00,621
63,15:52:56,15:50:18,63,-103,0.25,619
64,15:52:58,15:50:21,64,-102,1.00,621
65,15:53:00,15:50:23,65,-104,3.50,619
66,15:53:02,15:50:25,1,-102,1.75,655
