Package received,time received,time send,package send,rssi,snr,freqError
1,16:18:36,16:15:59,1,-105,-13.50,596
2,16:18:39,16:16:02,2,-107,-8.75,581
3,16:18:41,16:16:04,3,-102,-1.25,584
4,16:18:43,16:16:06,4,-104,-0.75,581
5,16:18:46,16:16:09,5,-104,-1.00,586
6,16:18:48,16:16:11,6,-105,-0.25,586
7,16:18:50,16:16:13,7,-103,1.50,579
8,16:18:53,16:16:16,8,-103,0.25,577
9,16:18:55,16:16:18,9,-103,1.00,579
10,16:18:57,16:16:20,10,-103,-0.25,581
11,16:18:59,16:16:23,11,-103,0.00,581
12,16:19:04,16:16:27,13,-103,-0.50,579
13,16:19:07,16:16:30,14,-104,0.00,579
14,16:19:09,16:16:32,15,-104,-0.75,581
15,16:19:11,16:16:34,16,-105,1.75,579
16,16:19:14,16:16:37,17,-104,-0.50,577
17,16:19:16,16:16:39,18,-105,0.00,575
18,16:19:18,16:16:41,19,-106,-0.75,577
19,16:19:21,16:16:44,20,-105,0.50,579
20,16:19:23,16:16:46,21,-105,0.75,579
21,16:19:25,16:16:48,22,-106,1.00,577
22,16:19:28,16:16:51,23,-106,0.25,577
23,16:19:30,16:16:53,24,-106,0.25,581
24,16:19:32,16:16:55,25,-105,-1.50,577
25,16:19:35,16:16:58,26,-104,0.25,577
26,16:19:37,16:17:00,27,-105,-0.75,579
27,16:19:39,16:17:02,28,-105,1.00,575
28,16:19:42,16:17:04,29,-105,0.75,575
29,16:19:44,16:17:07,30,-104,0.00,573
30,16:19:46,16:17:09,31,-104,2.00,575
31,16:19:49,16:17:11,32,-104,-0.75,579
32,16:19:51,16:17:14,33,-105,-3.50,577
33,16:19:53,16:17:16,34,-104,-0.75,573
34,16:19:56,16:17:18,35,-105,-0.50,573
35,16:19:58,16:17:21,36,-104,-3.00,577
36,16:20:00,16:17:23,37,-103,-4.00,575
37,16:20:03,16:17:25,38,-104,-1.25,573
38,16:20:05,16:17:28,39,-105,-2.25,573
39,16:20:07,16:17:30,40,-106,-3.50,573
40,16:20:09,16:17:32,41,-105,-4.00,569
41,16:20:12,16:17:35,42,-105,-3.25,573
42,16:20:14,16:17:37,43,-106,-2.50,569
43,16:20:16,16:17:39,44,-103,-5.00,573
44,16:20:19,16:17:42,45,-105,-3.50,577
45,16:20:21,16:17:44,46,-105,-2.00,569
46,16:20:23,16:17:46,47,-106,-4.25,571
47,16:20:26,16:17:49,48,-106,-3.00,575
48,16:20:28,16:17:51,49,-106,-4.25,573
49,16:20:30,16:17:53,50,-105,-3.50,573
50,16:20:33,16:17:56,51,-103,-6.75,571
51,16:20:35,16:17:58,52,-105,-3.50,567
52,16:20:37,16:18:00,53,-106,-3.50,571
53,16:20:40,16:18:03,54,-105,-2.75,571
54,16:20:42,16:18:05,55,-105,-4.00,571
55,16:20:44,16:18:07,56,-104,-2.25,569
56,16:20:47,16:18:10,57,-105,-2.00,569
57,16:20:49,16:18:12,58,-103,-1.75,571
58,16:20:51,16:18:14,59,-105,-3.75,571
59,16:20:54,16:18:17,60,-107,-0.25,571
