Package received,time received,time send,package send,rssi,snr,freqError
1,22:43:01,22:40:40,1,-109,-4.5,443
2,22:43:04,22:40:44,2,-109,-3.75,453
3,22:43:08,22:40:47,3,-108,-11.25,460
5,22:43:14,22:40:54,5,-108,-7.25,477
6,22:43:18,22:40:57,6,-108,-5.5,484
7,22:43:21,22:41:00,7,-109,-6.75,491
8,22:43:24,22:41:04,8,-109,-4.25,498
9,22:43:28,22:41:07,9,-109,-3.5,505
10,22:43:31,22:41:10,10,-107,-4.25,511
11,22:43:35,22:41:14,11,-107,-3.5,520
12,22:43:38,22:41:17,12,-107,-3.25,528
13,22:43:42,22:41:21,13,-106,-1.75,537
14,22:43:46,22:41:25,14,-106,-1,544
15,22:43:49,22:41:28,15,-106,-0.75,552
16,22:43:53,22:41:32,16,-107,-1.25,560
17,22:43:56,22:41:35,17,-103,-4,567
18,22:44:00,22:41:39,18,-105,-7,573
19,22:44:03,22:41:42,19,-107,-8,580
20,22:44:07,22:41:46,20,-104,-2.75,586
21,22:44:11,22:41:50,21,-105,-5,591
22,22:44:14,22:41:53,22,-105,-3.5,595
23,22:44:18,22:41:57,23,-105,-2.75,603
24,22:44:21,22:42:00,24,-105,-1,608
25,22:44:25,22:42:04,25,-105,-1.75,615
26,22:44:28,22:42:07,26,-105,-0.75,621
27,22:44:32,22:42:11,27,-105,-2.75,626
28,22:44:36,22:42:15,28,-105,-1,632
29,22:44:39,22:42:18,29,-105,-1.75,637
30,22:44:43,22:42:22,30,-105,-2,643
31,22:44:46,22:42:25,31,-105,-1.5,649
32,22:44:50,22:42:29,32,-103,-3.25,653
33,22:44:53,22:42:33,33,-104,-2.5,659
34,22:44:57,22:42:36,34,-104,-2.5,664
35,22:45:01,22:42:40,35,-104,-2.25,668
36,22:45:04,22:42:43,36,-103,-2.5,673
37,22:45:08,22:42:47,37,-103,-2.5,679
38,22:45:11,22:42:50,38,-104,-3,684
39,22:45:15,22:42:54,39,-103,-3.5,688
40,22:45:19,22:42:58,40,-103,-2,693
41,22:45:22,22:43:01,41,-104,-1.25,697
42,22:45:26,22:43:05,42,-103,-1.75,702
43,22:45:29,22:43:08,43,-104,-2.5,707
44,22:45:33,22:43:12,44,-105,-1.5,710
45,22:45:36,22:43:16,45,-104,-3,713
46,22:45:40,22:43:19,46,-105,-1,719
47,22:45:44,22:43:23,47,-105,-0.75,722
48,22:45:47,22:43:26,48,-105,-1,727
49,22:45:51,22:43:30,49,-105,-0.75,731
50,22:45:54,22:43:33,50,-106,-1.25,734
,,,,,,
50.00,173.00,173.00,50.00,-105.43,-2.99,610.45
