Package received,time received,time send,package send,rssi,snr,freqError
1,22:36:18,22:33:57,1,-111,-18.25,587
2,22:36:21,22:34:01,2,-110,-17.75,592
3,22:36:25,22:34:04,3,-109,-13.25,597
4,22:36:28,22:34:07,4,-109,-8.75,597
5,22:36:31,22:34:10,5,-109,-10,599
6,22:36:35,22:34:14,6,-108,-11.25,600
7,22:36:38,22:34:17,7,-110,-8.25,603
8,22:36:41,22:34:20,8,-110,-8.75,602
9,22:36:45,22:34:24,9,-111,-9,603
10,22:36:48,22:34:27,10,-108,-10,603
11,22:36:52,22:34:31,11,-110,-16.75,604
12,22:36:55,22:34:34,12,-110,-19,604
13,22:36:59,22:34:38,13,-108,-16.5,598
14,22:37:02,22:34:41,14,-109,-17.5,598
15,22:37:17,22:34:56,18,-107,-18.75,592
17,22:37:24,22:35:03,20,-106,-19.75,587
18,22:37:28,22:35:07,21,-107,-18.25,583
19,22:37:31,22:35:10,22,-108,-15.75,584
20,22:37:35,22:35:14,23,-109,-13.25,586
21,22:37:38,22:35:17,24,-107,-15.75,586
22,22:37:42,22:35:21,25,-107,-15.5,585
23,22:37:45,22:35:24,26,-107,-14.75,583
24,22:37:49,22:35:28,27,-107,-15.5,587
25,22:37:53,22:35:32,28,-107,-13,584
26,22:37:56,22:35:35,29,-108,-15.75,584
27,22:38:00,22:35:39,30,-108,-14.5,581
28,22:38:03,22:35:42,31,-107,-15,582
29,22:38:07,22:35:46,32,-109,-15.75,583
30,22:38:11,22:35:49,33,-107,-17.25,576
31,22:38:14,22:35:53,34,-108,-13.75,575
32,22:38:18,22:35:57,35,-107,-12.75,574
33,22:38:21,22:36:00,36,-107,-12.75,577
34,22:38:25,22:36:04,37,-108,-13.25,578
35,22:38:28,22:36:07,38,-107,-10.5,576
36,22:38:32,22:36:11,39,-107,-14.25,575
37,22:38:36,22:36:15,40,-107,-14,578
38,22:38:39,22:36:18,41,-107,-14.25,579
39,22:38:43,22:36:22,42,-108,-17,574
40,22:38:46,22:36:25,43,-107,-11.75,573
42,22:38:57,22:36:36,46,-107,-10.5,573
43,22:39:01,22:36:40,47,-107,-10,565
44,22:39:04,22:36:43,48,-107,-9.25,577
,,,,,,
44.00,166.00,166.00,48.00,-108.02,-13.99,586.29
