Package received,time received,time send,package send,rssi,snr,freqError
1,23:01:26,22:59:05,1,-106,0,526
2,23:01:29,22:59:08,2,-107,-1,532
3,23:01:32,22:59:11,3,-105,3.5,537
4,23:01:35,22:59:15,4,-107,-0.5,544
5,23:01:39,22:59:18,5,-108,-5,547
6,23:01:42,22:59:21,6,-108,-4.25,550
7,23:01:45,22:59:25,7,-108,-5,554
8,23:01:49,22:59:28,8,-109,-4.75,558
9,23:01:52,22:59:31,9,-109,-3.5,561
10,23:01:56,22:59:35,10,-107,-4.5,564
11,23:01:59,22:59:38,11,-108,-4.75,569
12,23:02:03,22:59:42,12,-108,-5.5,573
13,23:02:06,22:59:45,13,-106,-4,578
14,23:02:10,22:59:49,14,-107,-4.5,583
15,23:02:14,22:59:53,15,-107,-5.25,586
16,23:02:17,22:59:56,16,-107,-7,591
17,23:02:21,23:00:00,17,-107,-4.75,595
18,23:02:24,23:00:03,18,-106,-3,598
19,23:02:28,23:00:07,19,-107,-1,602
20,23:02:31,23:00:11,20,-106,-2,605
21,23:02:35,23:00:14,21,-107,-3,609
22,23:02:39,23:00:18,22,-106,-3.5,612
23,23:02:42,23:00:21,23,-107,-3.5,614
24,23:02:46,23:00:25,24,-106,-2,617
25,23:02:49,23:00:28,25,-106,-1.75,619
26,23:02:53,23:00:32,26,-105,-1.25,623
27,23:02:57,23:00:36,27,-106,-1,627
28,23:03:00,23:00:39,28,-106,-2,629
29,23:03:04,23:00:43,29,-105,-1.75,631
30,23:03:07,23:00:46,30,-105,-1,634
31,23:03:11,23:00:50,31,-106,-6.25,637
32,23:03:14,23:00:54,32,-105,0.75,640
33,23:03:18,23:00:57,33,-105,-1.25,633
34,23:03:22,23:01:01,34,-105,0.25,645
35,23:03:25,23:01:04,35,-107,-8,645
36,23:03:29,23:01:08,36,-106,-3,649
37,23:03:32,23:01:11,37,-107,-3,653
38,23:03:36,23:01:15,38,-105,0.75,655
39,23:03:40,23:01:19,39,-107,-9.75,657
40,23:03:43,23:01:22,40,-108,-8,659
41,23:03:47,23:01:26,41,-106,-2.25,661
42,23:03:50,23:01:29,42,-108,-10.75,664
43,23:03:54,23:01:33,43,-104,1.75,666
44,23:03:57,23:01:37,44,-108,-10.75,669
45,23:04:01,23:01:40,45,-106,-0.75,672
46,23:04:05,23:01:44,46,-106,-1,674
47,23:04:08,23:01:47,47,-106,-1.25,677
48,23:04:12,23:01:51,48,-106,-1,679
49,23:04:15,23:01:54,49,-107,-8.25,681
50,23:04:19,23:01:58,50,-108,-13,682
51,23:04:23,23:02:02,51,-107,-3.75,686
,,,,,,
51.00,177.00,177.00,51.00,-106.57,-3.45,616.71
