Package received,time received,time send,package send,rssi,snr,freqError
1,9:35:55,9:33:22,1,-101,3,651
2,9:35:57,9:33:25,2,-97,3.75,655
3,9:36:00,9:33:27,3,-101,3,659
4,9:36:02,9:33:29,4,-104,5.25,659
5,9:36:04,9:33:32,5,-104,4.25,657
6,9:36:07,9:33:34,6,-102,4,649
7,9:36:09,9:33:36,7,-102,3,655
8,9:36:11,9:33:39,8,-102,4.25,655
9,9:36:14,9:33:41,9,-102,1.75,661
10,9:36:16,9:33:43,10,-105,2.25,667
11,9:36:18,9:33:46,11,-103,3.5,670
12,9:36:21,9:33:48,12,-105,2,674
13,9:36:23,9:33:50,13,-107,3,680
14,9:36:25,9:33:53,14,-107,2,678
15,9:36:28,9:33:55,15,-106,2.25,680
16,9:36:30,9:33:57,16,-105,0.25,682
17,9:36:32,9:34:00,17,-107,1.75,686
18,9:36:35,9:34:02,18,-104,2.75,688
19,9:36:37,9:34:04,19,-109,1.75,686
20,9:36:39,9:34:07,20,-107,2,686
21,9:36:42,9:34:09,21,-104,1.25,688
22,9:36:44,9:34:11,22,-106,2.5,691
23,9:36:46,9:34:14,23,-105,1.25,693
24,9:36:49,9:34:16,24,-104,4,695
25,9:36:51,9:34:18,25,-103,2,695
26,9:36:53,9:34:21,26,-104,2.25,697
27,9:36:56,9:34:23,27,-105,2.75,699
28,9:36:58,9:34:25,28,-103,3.75,701
29,9:37:00,9:34:28,29,-106,3.25,709
30,9:37:03,9:34:30,30,-104,2,703
31,9:37:05,9:34:32,31,-105,2.75,705
32,9:37:07,9:34:35,32,-104,1,707
33,9:37:10,9:34:37,33,-108,2,718
34,9:37:12,9:34:39,34,-107,2.25,724
35,9:37:14,9:34:42,35,-105,4,728
36,9:37:17,9:34:44,36,-104,3.5,737
37,9:37:19,9:34:46,37,-104,2.25,732
38,9:37:21,9:34:49,38,-105,3,730
39,9:37:24,9:34:51,39,-104,1,732
40,9:37:26,9:34:53,40,-106,4.25,726
41,9:37:28,9:34:56,41,-105,2.75,724
42,9:37:31,9:34:58,42,-105,2.5,726
43,9:37:33,9:35:00,43,-105,4.25,724
44,9:37:35,9:35:03,44,-106,2.5,728
45,9:37:38,9:35:05,45,-106,3.25,730
46,9:37:40,9:35:07,46,-103,2.25,735
47,9:37:42,9:35:10,47,-108,2,732
48,9:37:45,9:35:12,48,-105,1,737
49,9:37:47,9:35:14,49,-109,1.5,732
50,9:37:49,9:35:17,50,-109,2,735
51,9:37:52,9:35:19,51,-110,-0.25,737
52,9:37:54,9:35:21,52,-110,1,741
53,9:37:56,9:35:24,53,-107,0.25,749
54,9:37:59,9:35:26,54,-110,2,753
55,9:38:01,9:35:28,55,-107,-0.75,760
56,9:38:03,9:35:31,56,-110,0.75,770
57,9:38:06,9:35:33,57,-106,2.5,776
58,9:38:08,9:35:35,58,-107,1.75,781
59,9:38:10,9:35:38,59,-109,1.25,795
60,9:38:13,9:35:40,60,-110,-2.25,791
,,,,,,
60,138,138,60,-105.3833333,2.283333333,709.0666667
