Package received,time received,time send,package send,rssi,snr,freqError
1,10:47:02,10:44:30,1,-106,1,542
2,10:47:05,10:44:32,2,-107,-0.25,535
3,10:47:07,10:44:35,3,-108,0,531
4,10:47:09,10:44:37,4,-108,0.75,527
5,10:47:12,10:44:39,5,-109,-2,525
6,10:47:14,10:44:42,6,-110,-3,523
7,10:47:16,10:44:44,7,-108,0,525
8,10:47:19,10:44:46,8,-109,-0.75,525
9,10:47:21,10:44:49,9,-107,-0.25,523
10,10:47:23,10:44:51,10,-109,-1,529
11,10:47:26,10:44:53,11,-108,-1,531
12,10:47:28,10:44:56,12,-107,0.25,531
13,10:47:30,10:44:58,13,-108,0.25,533
14,10:47:33,10:45:00,14,-110,-2.25,533
15,10:47:35,10:45:03,15,-109,-2,537
16,10:47:37,10:45:05,16,-108,-0.5,540
17,10:47:40,10:45:07,17,-108,-0.25,544
18,10:47:42,10:45:10,18,-108,-2.75,546
19,10:47:44,10:45:12,19,-109,-2.25,548
20,10:47:47,10:45:14,20,-109,-1.75,548
21,10:47:49,10:45:17,21,-109,-1.75,552
22,10:47:51,10:45:19,22,-109,-1.25,554
23,10:47:54,10:45:21,23,-109,-3,556
24,10:47:56,10:45:23,24,-109,-1.5,560
25,10:47:58,10:45:26,25,-108,0.25,563
26,10:48:01,10:45:28,26,-107,0.75,569
27,10:48:03,10:45:30,27,-109,-2.25,569
28,10:48:05,10:45:33,28,-110,-3.5,569
29,10:48:08,10:45:35,29,-109,-1,571
30,10:48:10,10:45:37,30,-109,-1.25,569
31,10:48:12,10:45:40,31,-109,-1.75,569
32,10:48:15,10:45:42,32,-108,-1.75,571
33,10:48:17,10:45:44,33,-109,-1.75,573
34,10:48:19,10:45:47,34,-108,-1.75,573
35,10:48:22,10:45:49,35,-109,-1,573
36,10:48:24,10:45:51,36,-108,0,569
37,10:48:26,10:45:54,37,-109,-3,573
38,10:48:29,10:45:56,38,-109,-1,563
39,10:48:31,10:45:58,39,-109,-1.75,569
40,10:48:33,10:46:01,40,-108,-2,569
41,10:48:36,10:46:03,41,-108,-2.25,565
42,10:48:38,10:46:05,42,-109,-1,563
43,10:48:40,10:46:08,43,-110,-2.25,565
44,10:48:43,10:46:10,44,-109,-2.25,565
45,10:48:45,10:46:12,45,-110,-1.75,565
46,10:48:47,10:46:15,46,-108,-1.75,567
47,10:48:50,10:46:17,47,-108,-2,569
48,10:48:52,10:46:19,48,-109,-2.5,569
49,10:48:54,10:46:22,49,-110,-1.5,569
50,10:48:57,10:46:24,50,-109,-1.25,569
51,10:48:59,10:46:26,51,-108,-0.5,567
52,10:49:01,10:46:29,52,-109,-1.25,565
53,10:49:04,10:46:31,53,-109,-1.5,560
54,10:49:06,10:46:33,54,-109,-1.75,556
55,10:49:08,10:46:36,55,-108,-2.25,548
56,10:49:11,10:46:38,56,-109,-1.25,546
57,10:49:13,10:46:40,57,-109,-1.75,548
58,10:49:15,10:46:43,58,-109,-1.25,544
59,10:49:17,10:46:45,59,-110,-1.25,542
60,10:49:20,10:46:47,60,-109,-1.75,535
61,10:49:22,10:46:50,61,-109,-1.25,529
62,10:49:24,10:46:52,62,-109,-1.25,514
63,10:49:27,10:46:54,63,-110,-1,510
64,10:49:29,10:46:57,64,-109,-1.5,502
65,10:49:31,10:46:59,65,-109,-1.5,491
66,10:49:34,10:47:01,66,-109,-1.25,485
67,10:49:36,10:47:04,67,-109,-1.5,483
68,10:49:39,10:47:06,68,-109,-1.25,479
69,10:49:41,10:47:08,69,-109,-1.5,470
70,10:49:43,10:47:11,70,-109,-0.5,464
71,10:49:46,10:47:13,71,-108,-1.75,451
,,,,,,
71,164,163,71,-108.7,-1.3,543.2
