Package received,time received,time send,package send,rssi,snr,freqError
1,18:40:24,18:38:04,2,-110,-3.25,456
2,18:40:27,18:38:06,3,-110,-2.75,454
3,18:40:29,18:38:09,4,-111,-2.25,451
4,18:40:31,18:38:11,5,-110,-2.25,456
5,18:40:34,18:38:13,6,-112,-3.5,451
6,18:40:36,18:38:16,7,-111,-6.5,443
7,18:40:38,18:38:18,8,-109,-1.75,451
8,18:40:41,18:38:20,9,-109,-3.25,451
9,18:40:43,18:38:23,10,-109,-2.25,447
10,18:40:45,18:38:25,11,-110,-3,449
11,18:40:48,18:38:27,12,-110,-3.75,454
12,18:40:50,18:38:30,13,-110,-2,447
13,18:40:52,18:38:32,14,-110,-2,447
14,18:40:55,18:38:34,15,-110,-2.75,447
15,18:40:57,18:38:37,16,-109,-3.25,447
16,18:40:59,18:38:39,17,-110,-3.25,447
17,18:41:02,18:38:41,18,-109,-6.5,443
18,18:41:04,18:38:44,19,-110,-0.5,441
19,18:41:06,18:38:46,20,-111,-2.25,443
20,18:41:09,18:38:48,21,-109,-1.5,439
21,18:41:11,18:38:51,22,-110,-2.25,437
22,18:41:13,18:38:53,23,-111,-3,441
23,18:41:16,18:38:55,24,-111,-2.75,441
24,18:41:18,18:38:58,25,-111,-2.5,441
25,18:41:20,18:39:00,26,-110,-2.25,435
26,18:41:23,18:39:02,27,-110,-2,437
27,18:41:25,18:39:05,28,-108,-2,435
28,18:41:27,18:39:07,29,-108,-3.5,437
29,18:41:29,18:39:09,30,-108,-4.25,435
30,18:41:32,18:39:12,31,-109,-4.75,435
31,18:41:34,18:39:14,32,-108,-5.75,500
32,18:41:36,18:39:16,33,-109,-3.5,435
33,18:41:39,18:39:18,34,-109,-3.25,430
34,18:41:41,18:39:21,35,-110,-4.5,430
35,18:41:43,18:39:23,36,-110,-6.25,430
36,18:41:46,18:39:25,37,-109,-1,430
37,18:41:48,18:39:28,38,-111,-5,430
38,18:41:50,18:39:30,39,-110,-5,430
39,18:41:53,18:39:32,40,-111,-4.75,430
40,18:41:55,18:39:35,41,-109,-2,430
41,18:41:57,18:39:37,42,-109,-0.25,430
42,18:42:00,18:39:39,43,-110,-2.75,433
43,18:42:02,18:39:42,44,-110,-1.75,435
44,18:42:04,18:39:44,45,-110,-1.75,435
45,18:42:07,18:39:46,46,-110,-2.75,428
46,18:42:09,18:39:49,47,-111,-3.75,428
47,18:42:11,18:39:51,48,-110,-3.75,430
48,18:42:14,18:39:53,49,-109,-3,430
49,18:42:16,18:39:56,50,-110,-2.5,428
50,18:42:18,18:39:58,51,-110,-5,433
51,18:42:21,18:40:00,52,-110,-2.25,428
52,18:42:23,18:40:03,53,-110,-1.75,426
53,18:42:25,18:40:05,54,-110,-3.25,426
54,18:42:28,18:40:07,55,-111,-3.25,424
55,18:42:30,18:40:10,56,-111,-3.25,420
56,18:42:32,18:40:12,57,-110,-3.5,422
57,18:42:35,18:40:14,58,-111,-3.75,422
58,18:42:37,18:40:17,59,-109,-4.25,420
59,18:42:39,18:40:19,60,-108,-3,418
60,18:42:42,18:40:21,61,-110,-2.75,418
61,18:42:44,18:40:24,62,-110,-2.75,422
62,18:42:46,18:40:26,63,-111,-2.5,418
,,,,,,
62,142,142,62,-109.9,-3.1,436.9
