Package received,time received,time send,package send,rssi,snr,freqError
1,15:09:01,15:06:32,1,-90,4,628
2,15:09:03,15:06:34,2,-88,7,630
3,15:09:06,15:06:37,3,-85,7.25,630
4,15:09:08,15:06:39,4,-84,7.5,632
5,15:09:11,15:06:41,5,-84,7,634
6,15:09:13,15:06:44,6,-85,6.25,634
7,15:09:15,15:06:46,7,-85,5,634
8,15:09:18,15:06:48,8,-83,7,636
9,15:09:20,15:06:51,9,-85,7,636
10,15:09:22,15:06:53,10,-85,6.75,636
11,15:09:25,15:06:55,11,-83,6.75,636
12,15:09:27,15:06:58,12,-85,6.5,638
13,15:09:29,15:07:00,13,-85,5.75,638
14,15:09:32,15:07:02,14,-83,7.5,638
15,15:09:34,15:07:05,15,-83,7,640
16,15:09:39,15:07:09,17,-84,6.5,640
17,15:09:41,15:07:12,18,-84,6.5,640
18,15:09:43,15:07:14,19,-83,6.75,640
19,15:09:46,15:07:16,20,-85,6.5,640
20,15:09:48,15:07:19,21,-83,6,642
21,15:09:50,15:07:21,22,-84,6.5,640
22,15:09:53,15:07:23,23,-84,7.25,642
23,15:09:55,15:07:26,24,-85,6.75,642
24,15:09:57,15:07:28,25,-84,6.5,642
25,15:09:59,15:07:30,26,-84,5.5,642
26,15:10:02,15:07:33,27,-84,7.25,644
27,15:10:04,15:07:35,28,-84,6.75,642
28,15:10:06,15:07:37,29,-84,6,644
29,15:10:09,15:07:40,30,-84,5.75,644
30,15:10:11,15:07:42,31,-83,7.5,644
31,15:10:13,15:07:44,32,-85,6.25,644
32,15:10:16,15:07:47,33,-85,6,644
33,15:10:18,15:07:49,34,-85,7,646
34,15:10:20,15:07:51,35,-85,6.25,646
35,15:10:23,15:07:54,36,-84,6.5,646
36,15:10:25,15:07:56,37,-86,5.5,649
37,15:10:27,15:07:58,38,-85,5,649
38,15:10:30,15:08:01,39,-87,5.5,651
39,15:10:32,15:08:03,40,-83,6.5,649
40,15:10:34,15:08:05,41,-82,6.75,649
41,15:10:37,15:08:08,42,-84,6.75,649
42,15:10:39,15:08:10,43,-84,6.5,651
43,15:10:41,15:08:12,44,-85,7,651
44,15:10:44,15:08:15,45,-85,6.25,651
45,15:10:46,15:08:17,46,-84,6.75,653
46,15:10:48,15:08:19,47,-85,7,651
47,15:10:51,15:08:22,48,-84,6.25,651
48,15:10:53,15:08:24,49,-85,6.25,653
49,15:10:55,15:08:26,50,-84,6.5,653
50,15:10:58,15:08:29,51,-83,7.25,653
51,15:11:00,15:08:31,52,-84,6.75,653
52,15:11:02,15:08:33,53,-83,7,655
53,15:11:05,15:08:36,54,-84,7,655
54,15:11:07,15:08:38,55,-84,6.75,655
55,15:11:09,15:08:40,56,-83,7,655
56,15:11:12,15:08:43,57,-83,6.75,655
57,15:11:14,15:08:45,58,-84,7.25,657
58,15:11:16,15:08:47,59,-84,6.75,657
59,15:11:19,15:08:50,60,-83,6.5,657
60,15:11:21,15:08:52,61,-82,6.5,657
61,15:11:23,15:08:54,62,-85,6.25,657
62,15:11:26,15:08:57,63,-84,6.75,659
63,15:11:28,15:08:59,64,-85,6.75,657
64,15:11:30,15:09:01,65,-83,7,657
65,15:11:33,15:09:04,66,-83,7.25,659
66,15:11:35,15:09:06,67,-82,6.75,659
67,15:11:37,15:09:08,68,-84,6.75,659
68,15:11:40,15:09:11,69,-85,6.75,659
69,15:11:42,15:09:13,70,-83,6.75,659
70,15:11:44,15:09:15,71,-83,6,659
71,15:11:47,15:09:17,72,-84,6.75,659
,,,,,,
71,166,165,72,-84.2,6.6,647
