Package received,time received,time send,package send,rssi,snr,freqError
1,15:42:06,15:39:30,1,-106,-5.75,670
2,15:42:08,15:39:32,2,-106,-10.5,672
3,15:42:10,15:39:34,3,-104,-1,674
4,15:42:13,15:39:37,4,-104,-0.75,674
5,15:42:15,15:39:39,5,-105,-1.5,674
6,15:42:17,15:39:41,6,-105,-4.75,674
7,15:42:20,15:39:44,7,-105,-4.5,674
8,15:42:22,15:39:46,8,-106,-5.25,672
9,15:42:24,15:39:48,9,-105,-4,676
10,15:42:27,15:39:51,10,-103,0.75,674
11,15:42:29,15:39:53,11,-103,0.5,672
12,15:42:31,15:39:55,12,-102,0.5,672
13,15:42:34,15:39:58,13,-104,0.5,672
14,15:42:36,15:40:00,14,-104,0.25,672
15,15:42:38,15:40:02,15,-103,0.75,670
16,15:42:41,15:40:05,16,-103,-1.25,670
17,15:42:43,15:40:07,17,-105,-4.25,674
18,15:42:45,15:40:09,18,-103,-2.75,670
19,15:42:48,15:40:12,19,-104,-1.5,667
20,15:42:50,15:40:14,20,-104,-1.25,667
21,15:42:52,15:40:16,21,-104,-2.5,667
22,15:42:55,15:40:19,22,-102,-5.5,667
23,15:42:57,15:40:21,23,-104,-5.25,667
24,15:42:59,15:40:23,24,-104,-4.75,667
25,15:43:02,15:40:26,25,-105,-6.25,665
26,15:43:04,15:40:28,26,-103,-2.5,665
27,15:43:06,15:40:30,27,-104,-2.75,665
28,15:43:09,15:40:33,28,-105,-7.25,665
29,15:43:11,15:40:35,29,-103,-13,665
30,15:43:13,15:40:37,30,-105,-6.25,659
31,15:43:16,15:40:40,31,-105,-8.25,663
32,15:43:18,15:40:42,32,-102,0.25,663
33,15:43:20,15:40:44,33,-106,-3.75,661
34,15:43:23,15:40:47,34,-104,-2,663
35,15:43:25,15:40:49,35,-104,0.25,663
36,15:43:27,15:40:51,36,-103,-2,661
37,15:43:30,15:40:54,37,-104,-1,661
38,15:43:32,15:40:56,38,-104,-1.25,659
39,15:43:34,15:40:58,39,-105,-5.75,659
40,15:43:37,15:41:00,40,-103,0.75,659
41,15:43:39,15:41:03,41,-104,-0.25,657
42,15:43:41,15:41:05,42,-106,-8.75,659
43,15:43:44,15:41:07,43,-104,-8,661
44,15:43:46,15:41:10,44,-102,2.75,657
45,15:43:48,15:41:12,45,-102,0.75,655
46,15:43:51,15:41:14,46,-102,1.75,657
47,15:43:53,15:41:17,47,-102,1.75,657
48,15:43:55,15:41:19,48,-102,2,655
49,15:43:58,15:41:21,49,-103,1,655
50,15:44:00,15:41:24,50,-105,-5,655
51,15:44:02,15:41:26,51,-105,-4.25,653
52,15:44:05,15:41:28,52,-104,-3.25,655
53,15:44:07,15:41:31,53,-105,-2.25,657
54,15:44:09,15:41:33,54,-104,-3,655
55,15:44:12,15:41:35,55,-105,0.5,657
,,,,,,
55,126,125,55,-104.0,-2.7,664.5
