Package received,time received,time send,package send,rssi,snr,freqError
1,16:00:28,15:57:50,1,-107,-6.5,667
2,16:00:30,15:57:53,1,-106,-5.75,667
3,16:00:32,15:57:55,2,-106,-8.25,665
4,16:00:34,15:57:57,3,-106,-6,665
5,16:00:37,15:58:00,4,-107,-5.25,661
6,16:00:39,15:58:02,5,-107,-5.5,661
7,16:00:41,15:58:04,6,-106,-5,661
8,16:00:44,15:58:07,7,-107,-5,659
9,16:00:46,15:58:09,8,-106,-6.5,657
10,16:00:48,15:58:11,9,-103,-9.75,657
11,16:00:51,15:58:14,10,-104,-8.75,655
12,16:00:53,15:58:16,11,-105,-8,653
13,16:00:55,15:58:18,12,-106,-7,649
14,16:00:58,15:58:21,13,-106,-7.25,651
15,16:01:00,15:58:23,14,-106,-7.5,651
16,16:01:02,15:58:25,15,-106,-6.75,653
17,16:01:04,15:58:28,16,-104,-9.25,649
18,16:01:07,15:58:30,17,-106,-7.5,649
19,16:01:09,15:58:32,18,-105,-7.25,646
20,16:01:12,15:58:35,19,-106,-6.25,646
21,16:01:14,15:58:37,20,-108,-6,644
22,16:01:16,15:58:39,21,-106,-7.25,644
23,16:01:19,15:58:41,22,-105,-7,640
24,16:01:21,15:58:44,23,-107,-7.25,640
25,16:01:23,15:58:46,24,-107,-6.75,640
26,16:01:26,15:58:48,25,-108,-6.25,640
27,16:01:28,15:58:51,26,-107,-7.5,640
28,16:01:30,15:58:53,27,-107,-8.25,638
29,16:01:33,15:58:55,28,-109,-8.25,636
30,16:01:35,15:58:58,29,-108,-9,634
31,16:01:37,15:59:00,30,-108,-7.25,632
32,16:01:40,15:59:02,31,-108,-7.5,630
33,16:01:42,15:59:05,32,-108,-7,632
34,16:01:44,15:59:07,33,-108,-7,634
35,16:01:47,15:59:09,34,-108,-6.75,628
36,16:01:49,15:59:12,35,-107,-7,628
37,16:01:51,15:59:14,36,-106,-7.5,625
38,16:01:54,15:59:16,37,-107,-6.25,623
39,16:01:56,15:59:19,38,-107,-5.75,625
40,16:01:58,15:59:21,39,-107,-7.25,623
41,16:02:01,15:59:23,40,-108,-7.25,619
42,16:02:03,15:59:26,41,-107,-7.25,617
43,16:02:05,15:59:28,42,-107,-7.25,615
44,16:02:08,15:59:30,43,-105,-9,617
45,16:02:10,15:59:33,44,-107,-6.5,615
46,16:02:12,15:59:35,45,-107,-7,615
47,16:02:14,15:59:37,46,-105,-7,613
48,16:02:17,15:59:40,47,-106,-7.75,611
49,16:02:19,15:59:42,48,-107,-5.75,609
50,16:02:21,15:59:44,49,-107,-6.5,609
51,16:02:24,15:59:47,50,-103,-11.5,607
52,16:02:26,15:59:49,51,-108,-6.75,607
,,,,,,
52,118,119,52,-106.5,-7.1,637.5
